Hindi,English
mẽ,In
hai,Is
ha͠i,Are
nahī̃,No
lie,For
gayā,Went
tathā,And
apne,Our
kuch,Some?
sāth,with
hotā,Would
thā,Was
diyā,Gave
hue,Has
koī,Any
rūp,Form
se,From
ma͠i,I
rahā,Stayed
huā,Happened
bāt,talk
kahā,Said
samay,Time
kyā,What
apnī,Own
hotī,Happiness
prakār,Type
bahut,Very
tarah,Kind
bād,after
phir,Then
rahe,are
dvārā,By
adhik,More
rahī,doing
hone,Having
evã,And
huī,Hui
the,Were
unke,Their
thī,Was
vāle,Wale
cāhie,Needed
din,Day
lekin,But
kām,Work
hū̃,am
hote,Having
iske,Its
unhẽ,Them
gaye,Gone
kabhī,Sometimes
ādi,Etcetera
log,People
bār,Times
yahā̃,Here
donõ,Both
unhõne,They
kārya,Work
pās,Near
vahā̃,There
bhārat,India
liyā,took
prāpt,get
unkī,His
logõ,People
gayī,Gone
lagā,Put
anya,Other
hogā,will be
isī,This
deś,Country
yadi,If
sabhī,All
nām,Name
varṣ,Year
aisā,As such
vikās,Development
apnā,own
aise,This way
dūsre,Others
hāth,Hand
bhāṣā,Language
mere,My
ma͠ine,I
tum,You
bīc,between
vālī,Wali
baṛe,elder
prati,Per
vyakti,Person
unkā,their
liye,For
islie,so
tīn,Three
iskā,Its
aisī,Such
viśeṣ,Specific
baṛī,Big
athvā,Or
bhāg,Part
kyõki,Because
sĩh,Lion
ṭhīk,Correct
sthiti,Situation
parantu,But
sthān,place
yahī,This only
kyõ,Why
gā̃v,Village
rājya,State
alag,apart
lekar,With
abhī,Now!
ismẽ,In this
vibhinn,various
sī,C
vicār,Idea
jis,That
bāhar,Outside
ūpar,Above
banā,Made up
taiyār,Ready
anek,many
sāmne,Front
śikṣā,Education
śarīr,Body
hokar,In
dŕṣṭi,Vision
śrī,Mister
thī̃,Was
dūr,away
śabd,Word
dhyān,Attention
cār,Four
merī,My
baṛā,Big
patā,Address
lagtā,Festive
āge,Ahead
kiyā,Did
uttar,Answer
kintu,But
āne,Arrival
lage,Logged
